INDEX;ORT;RICHTUNG;BETRAG;MONAT
4758;Chur;Ausgang;15691;9
4759;Sion;Eingang;17489;7
4760;St. Gallen;Ausgang;59518;6
4761;Bern;Eingang;46278;7
4762;Zürich;Ausgang;63748;9
4763;Basel;Eingang;71103;2
4764;Lausanne;Ausgang;35076;5
4765;Chur;Eingang;72697;3
4766;Sion;Ausgang;45971;5
4767;St. Gallen;Eingang;47104;3
4768;Bern;Ausgang;34844;8
4769;Zürich;Eingang;18346;4
4770;Basel;Ausgang;34357;12
4771;Lausanne;Eingang;24074;10
4772;Chur;Ausgang;59204;1
4773;Sion;Eingang;45389;3
4774;St. Gallen;Ausgang;26754;1
4775;Bern;Eingang;47322;3
4776;Zürich;Ausgang;63954;6
4777;Basel;Eingang;4840;6
4778;Lausanne;Ausgang;75671;1
4779;Chur;Eingang;10755;5
4780;Sion;Ausgang;4147;4
4781;St. Gallen;Eingang;17812;7
4782;Bern;Ausgang;46264;5
4783;Zürich;Eingang;36573;12
4784;Basel;Ausgang;61150;2
4785;Lausanne;Eingang;55632;12
4786;Chur;Ausgang;14046;2
4787;Sion;Eingang;53734;11
4788;St. Gallen;Ausgang;36553;2
4789;Bern;Eingang;24636;11
4790;Zürich;Ausgang;17507;6
4791;Basel;Eingang;11306;7
4792;Lausanne;Ausgang;16577;10
4793;Chur;Eingang;2099;2
4794;Sion;Ausgang;62181;5
4795;St. Gallen;Eingang;37040;4
4796;Bern;Ausgang;50887;11
4797;Zürich;Eingang;49649;3
4798;Basel;Ausgang;63225;6
4799;Lausanne;Eingang;43311;9
4800;Chur;Ausgang;10676;8
4801;Sion;Eingang;1914;8
4802;St. Gallen;Ausgang;24957;8
4803;Bern;Eingang;28818;11
4804;Zürich;Ausgang;68791;12
4805;Basel;Eingang;68955;8
4806;Lausanne;Ausgang;17390;6
4807;Chur;Eingang;66846;5
4808;Sion;Ausgang;15120;7
4809;St. Gallen;Eingang;37835;12
4810;Bern;Ausgang;32837;1
4811;Zürich;Eingang;47785;6
4812;Basel;Ausgang;32162;9
4813;Lausanne;Eingang;62319;2
4814;Chur;Ausgang;48290;3
4815;Sion;Eingang;1312;4
4816;St. Gallen;Ausgang;41313;9
4817;Bern;Eingang;66517;9
4818;Zürich;Ausgang;34284;6
4819;Basel;Eingang;11467;12
4820;Lausanne;Ausgang;47975;9
4821;Chur;Eingang;16474;3
4822;Sion;Ausgang;66297;3
4823;St. Gallen;Eingang;73847;11
4824;Bern;Ausgang;1641;4
4825;Zürich;Eingang;67827;3
4826;Basel;Ausgang;23440;2
4827;Lausanne;Eingang;34781;7
4828;Chur;Ausgang;27602;12
4829;Sion;Eingang;51403;5
4830;St. Gallen;Ausgang;38140;2
4831;Bern;Eingang;17833;2
4832;Zürich;Ausgang;59416;3
4833;Basel;Eingang;1409;1
4834;Lausanne;Ausgang;29417;7
4835;Chur;Eingang;30151;1
4836;Sion;Ausgang;29806;5
4837;St. Gallen;Eingang;60675;6
4838;Bern;Ausgang;28995;10
4839;Zürich;Eingang;33886;3
4840;Basel;Ausgang;51350;3
4841;Lausanne;Eingang;58541;3
4842;Chur;Ausgang;23192;11
4843;Sion;Eingang;33724;6
4844;St. Gallen;Ausgang;29004;12
4845;Bern;Eingang;16455;1
4846;Zürich;Ausgang;72628;8
4847;Basel;Eingang;64529;2
4848;Lausanne;Ausgang;37162;4
4849;Chur;Eingang;46303;5
4850;Sion;Ausgang;45968;5
4851;St. Gallen;Eingang;21522;5
4852;Bern;Ausgang;23598;3
4853;Zürich;Eingang;12173;12
4854;Basel;Ausgang;72225;12
4855;Lausanne;Eingang;51710;3
4856;Chur;Ausgang;69071;3
4857;Sion;Eingang;22262;2
4858;St. Gallen;Ausgang;2765;10
4859;Bern;Eingang;29144;1
4860;Zürich;Ausgang;74803;12
4861;Basel;Eingang;72032;4
4862;Lausanne;Ausgang;4506;12
4863;Chur;Eingang;48284;10
4864;Sion;Ausgang;3467;12
4865;St. Gallen;Eingang;45306;7
4866;Bern;Ausgang;56771;9
4867;Zürich;Eingang;77321;12
4868;Basel;Ausgang;42381;5
4869;Lausanne;Eingang;8578;11
4870;Chur;Ausgang;31767;1
4871;Sion;Eingang;64034;5
4872;St. Gallen;Ausgang;68357;11
4873;Bern;Eingang;25011;11
4874;Zürich;Ausgang;33252;7
4875;Basel;Eingang;23001;10
4876;Lausanne;Ausgang;21608;12
4877;Chur;Eingang;56300;1
4878;Sion;Ausgang;66003;8
4879;St. Gallen;Eingang;29101;12
4880;Bern;Ausgang;28109;9
4881;Zürich;Eingang;47676;6
4882;Basel;Ausgang;48676;6
4883;Lausanne;Eingang;42778;12
4884;Chur;Ausgang;55802;3
4885;Sion;Eingang;58807;7
4886;St. Gallen;Ausgang;28516;6
4887;Bern;Eingang;33670;6
4888;Zürich;Ausgang;60309;4
4889;Basel;Eingang;23090;6
4890;Lausanne;Ausgang;40108;6
4891;Chur;Eingang;17613;11
4892;Sion;Ausgang;72368;7
4893;St. Gallen;Eingang;51210;2
4894;Bern;Ausgang;10997;9
4895;Zürich;Eingang;29361;11
4896;Basel;Ausgang;39374;3
4897;Lausanne;Eingang;75411;3
4898;Chur;Ausgang;23278;1
4899;Sion;Eingang;59879;4
4900;St. Gallen;Ausgang;56292;7
4901;Bern;Eingang;8474;2
4902;Zürich;Ausgang;32134;9
4903;Basel;Eingang;15015;8
4904;Lausanne;Ausgang;1640;5
4905;Chur;Eingang;53729;3
4906;Sion;Ausgang;44184;4
4907;St. Gallen;Eingang;41460;2
4908;Bern;Ausgang;74982;7
4909;Zürich;Eingang;45439;10
4910;Basel;Ausgang;12927;9
4911;Lausanne;Eingang;21456;4
4912;Chur;Ausgang;39250;9
4913;Sion;Eingang;4921;12
4914;St. Gallen;Ausgang;67685;10
4915;Bern;Eingang;10248;8
4916;Zürich;Ausgang;56633;11
4917;Basel;Eingang;10263;10
4918;Lausanne;Ausgang;23713;8
4919;Chur;Eingang;57119;1
4920;Sion;Ausgang;34201;7
4921;St. Gallen;Eingang;3870;10
4922;Bern;Ausgang;57101;2
4923;Zürich;Eingang;15100;3
4924;Basel;Ausgang;39204;8
4925;Lausanne;Eingang;48871;3
4926;Chur;Ausgang;15997;6
4927;Sion;Eingang;9637;7
4928;St. Gallen;Ausgang;11227;6
4929;Bern;Eingang;15908;9
4930;Zürich;Ausgang;15650;1
4931;Basel;Eingang;34062;9
4932;Lausanne;Ausgang;75854;9
4933;Chur;Eingang;58223;10
4934;Sion;Ausgang;25965;3
4935;St. Gallen;Eingang;40874;2
4936;Bern;Ausgang;5753;3
4937;Zürich;Eingang;64844;4
4938;Basel;Ausgang;19259;8
4939;Lausanne;Eingang;20920;8
4940;Chur;Ausgang;50196;9
4941;Sion;Eingang;31946;2
4942;St. Gallen;Ausgang;33180;6
4943;Bern;Eingang;41470;2
4944;Zürich;Ausgang;54580;7
4945;Basel;Eingang;66783;8
4946;Lausanne;Ausgang;28411;3
4947;Chur;Eingang;4439;9
4948;Sion;Ausgang;3171;2
4949;St. Gallen;Eingang;44086;6
4950;Bern;Ausgang;1651;5
4951;Zürich;Eingang;62679;4
4952;Basel;Ausgang;6310;10
4953;Lausanne;Eingang;41735;11
4954;Chur;Ausgang;50912;3
4955;Sion;Eingang;3653;4
4956;St. Gallen;Ausgang;1932;8
4957;Bern;Eingang;63359;8
4958;Zürich;Ausgang;20669;12
4959;Basel;Eingang;52003;5
4960;Lausanne;Ausgang;14509;10
4961;Chur;Eingang;23860;11
4962;Sion;Ausgang;44959;12
4963;St. Gallen;Eingang;47621;10
4964;Bern;Ausgang;66482;2
4965;Zürich;Eingang;61348;7
4966;Basel;Ausgang;41059;8
4967;Lausanne;Eingang;16065;7
4968;Chur;Ausgang;24744;12
4969;Sion;Eingang;26633;7
4970;St. Gallen;Ausgang;60213;6
4971;Bern;Eingang;17918;4
4972;Zürich;Ausgang;24746;1
4973;Basel;Eingang;53105;9
4974;Lausanne;Ausgang;66162;2
4975;Chur;Eingang;54676;8
4976;Sion;Ausgang;39246;5
4977;St. Gallen;Eingang;67705;7
4978;Bern;Ausgang;7295;3
4979;Zürich;Eingang;6277;12
4980;Basel;Ausgang;66177;7
4981;Lausanne;Eingang;43442;8
4982;Chur;Ausgang;76251;10
4983;Sion;Eingang;15779;5
4984;St. Gallen;Ausgang;31067;11
4985;Bern;Eingang;13451;1
4986;Zürich;Ausgang;20592;2
4987;Basel;Eingang;62365;1
4988;Lausanne;Ausgang;66612;12
4989;Chur;Eingang;24026;1
4990;Sion;Ausgang;20398;7
4991;St. Gallen;Eingang;11901;10
4992;Bern;Ausgang;30129;11
4993;Zürich;Eingang;67565;10
4994;Basel;Ausgang;47819;10
4995;Lausanne;Eingang;51273;10
4996;Chur;Ausgang;25959;1
4997;Sion;Eingang;11815;10
4998;St. Gallen;Ausgang;32912;8
4999;Bern;Eingang;30805;5
5000;Zürich;Ausgang;58484;11
5001;Basel;Eingang;68892;6
5002;Lausanne;Ausgang;1351;5
5003;Chur;Eingang;61884;5
5004;Sion;Ausgang;21336;12
5005;St. Gallen;Eingang;8280;5
5006;Bern;Ausgang;69589;10
5007;Zürich;Eingang;17752;5
5008;Basel;Ausgang;3462;3
5009;Lausanne;Eingang;31852;8
5010;Chur;Ausgang;15139;7
5011;Sion;Eingang;1353;10
5012;St. Gallen;Ausgang;62050;10
5013;Bern;Eingang;3981;5
5014;Zürich;Ausgang;37737;11
5015;Basel;Eingang;42829;8
5016;Lausanne;Ausgang;31572;1
5017;Chur;Eingang;71962;6
5018;Sion;Ausgang;38857;2
5019;St. Gallen;Eingang;14486;3
5020;Bern;Ausgang;29646;5
5021;Zürich;Eingang;17076;12
5022;Basel;Ausgang;27161;2
5023;Lausanne;Eingang;30638;9
5024;Chur;Ausgang;39802;3
5025;Sion;Eingang;64576;6
5026;St. Gallen;Ausgang;43681;1
5027;Bern;Eingang;67432;6
5028;Zürich;Ausgang;5168;2
5029;Basel;Eingang;55028;5
5030;Lausanne;Ausgang;18967;1
5031;Chur;Eingang;63969;7
5032;Sion;Ausgang;39972;3
5033;St. Gallen;Eingang;31577;3
5034;Bern;Ausgang;7713;10
5035;Zürich;Eingang;51116;6
5036;Basel;Ausgang;28986;8
5037;Lausanne;Eingang;52167;6
5038;Chur;Ausgang;55375;10
5039;Sion;Eingang;9676;10
5040;St. Gallen;Ausgang;70989;2
5041;Bern;Eingang;11786;6
5042;Zürich;Ausgang;50290;6
5043;Basel;Eingang;4351;6
5044;Lausanne;Ausgang;27472;6
5045;Chur;Eingang;1875;8
5046;Sion;Ausgang;41923;7
5047;St. Gallen;Eingang;30749;12
5048;Bern;Ausgang;19558;1
5049;Zürich;Eingang;22018;2
5050;Basel;Ausgang;67554;6
5051;Lausanne;Eingang;10378;12
5052;Chur;Ausgang;8006;2
5053;Sion;Eingang;50337;4
5054;St. Gallen;Ausgang;36137;11
5055;Bern;Eingang;42673;10
5056;Zürich;Ausgang;70747;3
5057;Basel;Eingang;29125;6
5058;Lausanne;Ausgang;19219;1
5059;Chur;Eingang;45795;6
5060;Sion;Ausgang;43593;9
5061;St. Gallen;Eingang;44880;3
5062;Bern;Ausgang;44031;6
5063;Zürich;Eingang;21354;4
5064;Basel;Ausgang;67547;2
5065;Lausanne;Eingang;65145;8
5066;Chur;Ausgang;33099;12
5067;Sion;Eingang;73092;10
5068;St. Gallen;Ausgang;11952;8
5069;Bern;Eingang;24624;7
5070;Zürich;Ausgang;51432;5
5071;Basel;Eingang;31681;1
5072;Lausanne;Ausgang;26652;12
5073;Chur;Eingang;52935;4
5074;Sion;Ausgang;42047;7
5075;St. Gallen;Eingang;64364;2
5076;Bern;Ausgang;11644;2
5077;Zürich;Eingang;22208;10
5078;Basel;Ausgang;65308;9
5079;Lausanne;Eingang;59868;1
5080;Chur;Ausgang;20917;7
5081;Sion;Eingang;70523;9
5082;St. Gallen;Ausgang;44030;9
5083;Bern;Eingang;57288;1
5084;Zürich;Ausgang;75716;2
5085;Basel;Eingang;30754;1
5086;Lausanne;Ausgang;56520;11
5087;Chur;Eingang;18973;9
5088;Sion;Ausgang;53153;3
5089;St. Gallen;Eingang;6902;2
5090;Bern;Ausgang;17518;10
5091;Zürich;Eingang;42007;2
5092;Basel;Ausgang;22700;1
5093;Lausanne;Eingang;33181;10
5094;Chur;Ausgang;13994;7
5095;Sion;Eingang;28036;1
5096;St. Gallen;Ausgang;45640;7
5097;Bern;Eingang;30420;11
5098;Zürich;Ausgang;16707;6
5099;Basel;Eingang;66506;9
5100;Lausanne;Ausgang;52066;3
5101;Chur;Eingang;6948;11
5102;Sion;Ausgang;22250;12
5103;St. Gallen;Eingang;43456;4
5104;Bern;Ausgang;41687;5
5105;Zürich;Eingang;14901;5
5106;Basel;Ausgang;12038;5
5107;Lausanne;Eingang;30220;1
5108;Chur;Ausgang;71769;12
5109;Sion;Eingang;76817;10
5110;St. Gallen;Ausgang;40660;6
5111;Bern;Eingang;10311;5
5112;Zürich;Ausgang;58789;10
5113;Basel;Eingang;23528;3
5114;Lausanne;Ausgang;8235;10
5115;Chur;Eingang;33117;3
5116;Sion;Ausgang;33399;7
5117;St. Gallen;Eingang;39088;5
5118;Bern;Ausgang;64975;4
5119;Zürich;Eingang;48474;12
5120;Basel;Ausgang;23008;11
5121;Lausanne;Eingang;25793;10
5122;Chur;Ausgang;63232;4
5123;Sion;Eingang;55761;11
5124;St. Gallen;Ausgang;48157;2
5125;Bern;Eingang;45979;2
5126;Zürich;Ausgang;57694;7
5127;Basel;Eingang;26446;11
5128;Lausanne;Ausgang;25103;5
5129;Chur;Eingang;34656;8
5130;Sion;Ausgang;37388;6
5131;St. Gallen;Eingang;36817;5
5132;Bern;Ausgang;27232;12
5133;Zürich;Eingang;28519;11
5134;Basel;Ausgang;16967;7
5135;Lausanne;Eingang;56784;4
5136;Chur;Ausgang;29861;9
5137;Sion;Eingang;4511;3
5138;St. Gallen;Ausgang;52557;12
5139;Bern;Eingang;8465;6
5140;Zürich;Ausgang;58803;2
5141;Basel;Eingang;34041;4
5142;Lausanne;Ausgang;16429;3
5143;Chur;Eingang;67653;5
5144;Sion;Ausgang;47749;6
5145;St. Gallen;Eingang;69176;2
5146;Bern;Ausgang;70039;9
5147;Zürich;Eingang;30390;4
5148;Basel;Ausgang;56697;3
5149;Lausanne;Eingang;29792;9
5150;Chur;Ausgang;77437;4
5151;Sion;Eingang;47772;2
5152;St. Gallen;Ausgang;15427;9
5153;Bern;Eingang;18987;8
5154;Zürich;Ausgang;42657;7
5155;Basel;Eingang;66444;4
5156;Lausanne;Ausgang;55908;4
5157;Chur;Eingang;18731;5
5158;Sion;Ausgang;36382;1
5159;St. Gallen;Eingang;5964;7
5160;Bern;Ausgang;3840;3
5161;Zürich;Eingang;35071;1
5162;Basel;Ausgang;17327;12
5163;Lausanne;Eingang;76554;11
5164;Chur;Ausgang;15955;12
5165;Sion;Eingang;12930;9
5166;St. Gallen;Ausgang;50924;6
5167;Bern;Eingang;14765;10
5168;Zürich;Ausgang;64538;4
5169;Basel;Eingang;65563;3
5170;Lausanne;Ausgang;59447;9
5171;Chur;Eingang;901;6
5172;Sion;Ausgang;58700;4
5173;St. Gallen;Eingang;59130;12
5174;Bern;Ausgang;40040;9
5175;Zürich;Eingang;21464;12
5176;Basel;Ausgang;40441;8
5177;Lausanne;Eingang;64197;1
5178;Chur;Ausgang;18509;11
5179;Sion;Eingang;19933;7
5180;St. Gallen;Ausgang;24257;9
5181;Bern;Eingang;41042;8
5182;Zürich;Ausgang;29114;9
5183;Basel;Eingang;21506;5
5184;Lausanne;Ausgang;67261;1
5185;Chur;Eingang;3735;9
5186;Sion;Ausgang;56143;7
5187;St. Gallen;Eingang;63203;1
5188;Bern;Ausgang;52725;12
5189;Zürich;Eingang;40234;12
5190;Basel;Ausgang;49706;9
5191;Lausanne;Eingang;27541;5
5192;Chur;Ausgang;39241;11
5193;Sion;Eingang;34055;10
5194;St. Gallen;Ausgang;36673;5
5195;Bern;Eingang;57200;10
5196;Zürich;Ausgang;24591;5
5197;Basel;Eingang;74631;11
5198;Lausanne;Ausgang;42569;1
5199;Chur;Eingang;57250;6
5200;Sion;Ausgang;22956;3
5201;St. Gallen;Eingang;66197;11
5202;Bern;Ausgang;34799;6
5203;Zürich;Eingang;4384;11
5204;Basel;Ausgang;17757;4
5205;Lausanne;Eingang;29430;2
5206;Chur;Ausgang;34897;5
5207;Sion;Eingang;57052;1
5208;St. Gallen;Ausgang;56599;7
5209;Bern;Eingang;65240;8
5210;Zürich;Ausgang;8119;1
5211;Basel;Eingang;6783;12
5212;Lausanne;Ausgang;10979;5
5213;Chur;Eingang;18837;2
5214;Sion;Ausgang;5129;4
5215;St. Gallen;Eingang;39709;1
5216;Bern;Ausgang;40227;3
5217;Zürich;Eingang;65391;6
5218;Basel;Ausgang;47756;10
5219;Lausanne;Eingang;62722;5
5220;Chur;Ausgang;53260;6
5221;Sion;Eingang;40828;5
5222;St. Gallen;Ausgang;37244;3
5223;Bern;Eingang;57186;3
5224;Zürich;Ausgang;1727;11
5225;Basel;Eingang;76458;3
5226;Lausanne;Ausgang;34094;7
5227;Chur;Eingang;39979;8
5228;Sion;Ausgang;55303;2
5229;St. Gallen;Eingang;4621;7
5230;Bern;Ausgang;5873;4
5231;Zürich;Eingang;6705;6
5232;Basel;Ausgang;39506;2
5233;Lausanne;Eingang;17021;1
5234;Chur;Ausgang;36354;6
5235;Sion;Eingang;55218;11
5236;St. Gallen;Ausgang;75691;10
5237;Bern;Eingang;20448;12
5238;Zürich;Ausgang;33097;8
5239;Basel;Eingang;56228;7
5240;Lausanne;Ausgang;66244;12
5241;Chur;Eingang;17109;3
5242;Sion;Ausgang;49092;12
5243;St. Gallen;Eingang;51893;7
5244;Bern;Ausgang;67438;1
5245;Zürich;Eingang;51568;11
5246;Basel;Ausgang;5115;3
5247;Lausanne;Eingang;42473;5
5248;Chur;Ausgang;51957;9
5249;Sion;Eingang;57754;9
5250;St. Gallen;Ausgang;27363;7
5251;Bern;Eingang;10256;1
5252;Zürich;Ausgang;47712;5
5253;Basel;Eingang;14546;12
5254;Lausanne;Ausgang;1423;7
5255;Chur;Eingang;24665;8
5256;Sion;Ausgang;41267;8
5257;St. Gallen;Eingang;67141;12
5258;Bern;Ausgang;53648;7
5259;Zürich;Eingang;11322;1
5260;Basel;Ausgang;12805;5
5261;Lausanne;Eingang;13209;1
5262;Chur;Ausgang;73582;7
5263;Sion;Eingang;70047;4
5264;St. Gallen;Ausgang;62848;6
5265;Bern;Eingang;17496;4
5266;Zürich;Ausgang;24915;7
5267;Basel;Eingang;58106;1
5268;Lausanne;Ausgang;64149;5
5269;Chur;Eingang;25980;11
5270;Sion;Ausgang;41721;2
5271;St. Gallen;Eingang;35917;12
5272;Bern;Ausgang;68974;4
5273;Zürich;Eingang;69892;10
5274;Basel;Ausgang;6190;2
5275;Lausanne;Eingang;18003;1
5276;Chur;Ausgang;21349;11
5277;Sion;Eingang;38031;3
5278;St. Gallen;Ausgang;47048;11
5279;Bern;Eingang;43926;9
5280;Zürich;Ausgang;26453;12
5281;Basel;Eingang;5521;6
5282;Lausanne;Ausgang;53322;2
5283;Chur;Eingang;20065;8
5284;Sion;Ausgang;49247;4
5285;St. Gallen;Eingang;10880;7
5286;Bern;Ausgang;63057;7
5287;Zürich;Eingang;18341;8
5288;Basel;Ausgang;29882;10
5289;Lausanne;Eingang;11638;11
5290;Chur;Ausgang;54865;2
5291;Sion;Eingang;1899;10
5292;St. Gallen;Ausgang;69164;8
5293;Bern;Eingang;6575;2
5294;Zürich;Ausgang;28797;10
5295;Basel;Eingang;15079;12
5296;Lausanne;Ausgang;73534;10
5297;Chur;Eingang;35164;8
5298;Sion;Ausgang;66759;2
5299;St. Gallen;Eingang;27821;3
5300;Bern;Ausgang;42395;8
5301;Zürich;Eingang;66171;7
5302;Basel;Ausgang;71940;1
5303;Lausanne;Eingang;55772;10
5304;Chur;Ausgang;6700;4
5305;Sion;Eingang;2906;9
5306;St. Gallen;Ausgang;27503;5
5307;Bern;Eingang;32688;6
5308;Zürich;Ausgang;52479;2
5309;Basel;Eingang;33604;9
5310;Lausanne;Ausgang;23315;2
5311;Chur;Eingang;61772;12
5312;Sion;Ausgang;66152;2
5313;St. Gallen;Eingang;66145;12
5314;Bern;Ausgang;29494;9
5315;Zürich;Eingang;41919;2
5316;Basel;Ausgang;51302;3
5317;Lausanne;Eingang;53526;7
5318;Chur;Ausgang;75652;12
5319;Sion;Eingang;59728;9
5320;St. Gallen;Ausgang;27466;10
5321;Bern;Eingang;24079;2
5322;Zürich;Ausgang;1325;4
5323;Basel;Eingang;14148;3
5324;Lausanne;Ausgang;59905;12
5325;Chur;Eingang;62577;4
5326;Sion;Ausgang;32189;3
5327;St. Gallen;Eingang;9796;12
5328;Bern;Ausgang;9923;11
5329;Zürich;Eingang;33706;4
5330;Basel;Ausgang;76887;7
5331;Lausanne;Eingang;3866;2
5332;Chur;Ausgang;56874;7
5333;Sion;Eingang;49217;9
5334;St. Gallen;Ausgang;8405;2
5335;Bern;Eingang;24594;12
5336;Zürich;Ausgang;17512;12
5337;Basel;Eingang;7389;2
5338;Lausanne;Ausgang;28940;4
5339;Chur;Eingang;45374;6
5340;Sion;Ausgang;5885;6
5341;St. Gallen;Eingang;44495;7
5342;Bern;Ausgang;48606;12
5343;Zürich;Eingang;54833;12
5344;Basel;Ausgang;20556;1
5345;Lausanne;Eingang;34479;12
5346;Chur;Ausgang;61359;9
5347;Sion;Eingang;68559;8
5348;St. Gallen;Ausgang;21112;10
5349;Bern;Eingang;39534;4
5350;Zürich;Ausgang;64145;1
5351;Basel;Eingang;54865;8
5352;Lausanne;Ausgang;55773;7
5353;Chur;Eingang;3068;7
5354;Sion;Ausgang;28007;11
5355;St. Gallen;Eingang;24340;11
5356;Bern;Ausgang;55571;7
5357;Zürich;Eingang;6133;5
5358;Basel;Ausgang;72629;5
5359;Lausanne;Eingang;18983;1
5360;Chur;Ausgang;38497;2
5361;Sion;Eingang;36364;7
5362;St. Gallen;Ausgang;4415;7
5363;Bern;Eingang;66224;6
5364;Zürich;Ausgang;75327;7
5365;Basel;Eingang;952;7
5366;Lausanne;Ausgang;68493;9
5367;Chur;Eingang;37867;3
5368;Sion;Ausgang;17833;5
5369;St. Gallen;Eingang;63179;11
5370;Bern;Ausgang;24666;6
5371;Zürich;Eingang;61021;9
5372;Basel;Ausgang;24238;7
5373;Lausanne;Eingang;50099;7
5374;Chur;Ausgang;496;6
5375;Sion;Eingang;15216;11
5376;St. Gallen;Ausgang;6077;12
5377;Bern;Eingang;75119;8
5378;Zürich;Ausgang;75466;5
5379;Basel;Eingang;44067;11
5380;Lausanne;Ausgang;48256;1
5381;Chur;Eingang;52380;9
5382;Sion;Ausgang;71475;1
5383;St. Gallen;Eingang;40342;4
5384;Bern;Ausgang;19572;5
5385;Zürich;Eingang;41368;7
5386;Basel;Ausgang;18749;4
5387;Lausanne;Eingang;37620;12
5388;Chur;Ausgang;28977;5
5389;Sion;Eingang;769;2
5390;St. Gallen;Ausgang;51516;5
5391;Bern;Eingang;40929;8
5392;Zürich;Ausgang;9193;4
5393;Basel;Eingang;26808;10
5394;Lausanne;Ausgang;4847;11
5395;Chur;Eingang;46225;11
5396;Sion;Ausgang;30886;3
5397;St. Gallen;Eingang;72209;5
5398;Bern;Ausgang;28486;1
5399;Zürich;Eingang;18224;4
5400;Basel;Ausgang;77416;6
5401;Lausanne;Eingang;61212;11
5402;Chur;Ausgang;30228;8
5403;Sion;Eingang;20424;6
5404;St. Gallen;Ausgang;62912;3
5405;Bern;Eingang;462;11
5406;Zürich;Ausgang;20245;4
5407;Basel;Eingang;51122;2
5408;Lausanne;Ausgang;31385;6
5409;Chur;Eingang;2636;6
5410;Sion;Ausgang;16947;10
5411;St. Gallen;Eingang;17977;12
5412;Bern;Ausgang;66989;10
5413;Zürich;Eingang;45860;3
5414;Basel;Ausgang;31646;11
5415;Lausanne;Eingang;6631;3
5416;Chur;Ausgang;39223;11
5417;Sion;Eingang;41566;2
5418;St. Gallen;Ausgang;25971;11
5419;Bern;Eingang;54169;7
5420;Zürich;Ausgang;48876;4
5421;Basel;Eingang;19300;3
5422;Lausanne;Ausgang;76004;6
5423;Chur;Eingang;53623;8
5424;Sion;Ausgang;38774;1
5425;St. Gallen;Eingang;57031;4
5426;Bern;Ausgang;70837;8
5427;Zürich;Eingang;56991;8
5428;Basel;Ausgang;20933;10
5429;Lausanne;Eingang;58762;6
5430;Chur;Ausgang;62458;4
5431;Sion;Eingang;63761;2
5432;St. Gallen;Ausgang;75176;10
5433;Bern;Eingang;9703;8
5434;Zürich;Ausgang;27064;5
5435;Basel;Eingang;1169;2
5436;Lausanne;Ausgang;6147;2
5437;Chur;Eingang;49030;11
5438;Sion;Ausgang;13394;4
5439;St. Gallen;Eingang;29871;11
5440;Bern;Ausgang;30947;8
5441;Zürich;Eingang;34629;9
5442;Basel;Ausgang;68604;5
5443;Lausanne;Eingang;23202;6
5444;Chur;Ausgang;37789;4
5445;Sion;Eingang;15054;2
5446;St. Gallen;Ausgang;25621;6
5447;Bern;Eingang;4433;2
5448;Zürich;Ausgang;74934;5
5449;Basel;Eingang;596;4
5450;Lausanne;Ausgang;29620;6
5451;Chur;Eingang;39049;6
5452;Sion;Ausgang;1529;3
5453;St. Gallen;Eingang;2413;6
5454;Bern;Ausgang;61545;11
5455;Zürich;Eingang;64371;10
5456;Basel;Ausgang;57322;1
5457;Lausanne;Eingang;33720;3
5458;Chur;Ausgang;18310;1
5459;Sion;Eingang;63531;6
5460;St. Gallen;Ausgang;14586;12
5461;Bern;Eingang;52098;11
5462;Zürich;Ausgang;67018;12
5463;Basel;Eingang;34412;11
5464;Lausanne;Ausgang;35181;4
5465;Chur;Eingang;41040;2
5466;Sion;Ausgang;48284;3
5467;St. Gallen;Eingang;39663;10
5468;Bern;Ausgang;38731;4
5469;Zürich;Eingang;40781;1
5470;Basel;Ausgang;24612;10
5471;Lausanne;Eingang;30369;11
5472;Chur;Ausgang;45557;4
5473;Sion;Eingang;19107;9
5474;St. Gallen;Ausgang;75030;10
5475;Bern;Eingang;7476;11
5476;Zürich;Ausgang;55828;5
5477;Basel;Eingang;56375;7
5478;Lausanne;Ausgang;14873;3
5479;Chur;Eingang;17519;4
5480;Sion;Ausgang;725;10
5481;St. Gallen;Eingang;15997;12
5482;Bern;Ausgang;30897;3
5483;Zürich;Eingang;52125;7
5484;Basel;Ausgang;876;7
5485;Lausanne;Eingang;62487;6
5486;Chur;Ausgang;40993;12
5487;Sion;Eingang;60393;1
5488;St. Gallen;Ausgang;64994;1
5489;Bern;Eingang;60163;10
5490;Zürich;Ausgang;44941;6
5491;Basel;Eingang;34440;2
5492;Lausanne;Ausgang;9379;6
5493;Chur;Eingang;12331;3
5494;Sion;Ausgang;33090;12
5495;St. Gallen;Eingang;32043;3
5496;Bern;Ausgang;23340;1
5497;Zürich;Eingang;71037;10
5498;Basel;Ausgang;14593;6
5499;Lausanne;Eingang;58032;12
5500;Chur;Ausgang;16127;6
5501;Sion;Eingang;45353;2
5502;St. Gallen;Ausgang;56446;2
5503;Bern;Eingang;25293;3
5504;Zürich;Ausgang;12080;4
5505;Basel;Eingang;7529;9
5506;Lausanne;Ausgang;65830;4
5507;Chur;Eingang;61261;11
5508;Sion;Ausgang;53774;9
5509;St. Gallen;Eingang;39938;11
5510;Bern;Ausgang;59991;1
5511;Zürich;Eingang;7602;9
5512;Basel;Ausgang;65375;12
5513;Lausanne;Eingang;75620;10
5514;Chur;Ausgang;4658;6
5515;Sion;Eingang;64791;7
5516;St. Gallen;Ausgang;32015;1
5517;Bern;Eingang;9088;2
5518;Zürich;Ausgang;14424;12
